keyword,zero_pct,mean_interest
unprofitable,0.038,28.34
kickbacks,0.0,28.17
quit,0.0,28.11
anticipated,0.0,27.98
misstatements,0.208,27.96
defraud,0.0,27.66
invalidated,0.0,27.43
complication,0.0,27.34
revoking,0.0,27.32
culpability,0.0,27.19
obscene,0.0,27.19
slowest,0.0,27.15
exaggerate,0.0,27.13
ambiguous,0.0,27.04
abnormalities,0.0,27.02
interrupt,0.0,26.81
omissions,0.0,26.79
plead,0.0,26.72
invalidation,0.0,26.68
reassigned,0.0,26.68
concealing,0.0,26.53
injury,0.0,26.47
immoral,0.0,26.32
undetermined,0.0,26.17
persistence,0.0,26.15
grievances,0.0,26.15
declined,0.0,26.13
unrealistic,0.0,26.13
destroying,0.0,26.02
negligent,0.0,26.0
crucial,0.0,25.98
may,0.0,25.91
unannounced,0.0,25.87
encourages,0.0,25.81
lapse,0.0,25.74
confusion,0.0,25.72
ignore,0.0,25.68
conspirators,0.0,25.58
disappearing,0.0,25.57
dishonor,0.0,25.57
unrest,0.0,25.43
distort,0.0,25.36
annul,0.0,25.36
prolong,0.0,25.28
delays,0.0,25.19
overpaid,0.0,25.17
losing,0.0,25.17
relinquishing,0.019,25.11
divesting,0.019,25.11
appears,0.0,25.06
limitation,0.0,25.02
seize,0.0,25.0
unintentionally,0.0,24.98
restructure,0.0,24.96
condemnation,0.0,24.94
confined,0.0,24.91
devastation,0.0,24.89
acquiesce,0.0,24.89
unaware,0.0,24.85
harsh,0.0,24.79
curtailed,0.0,24.74
adversity,0.0,24.7
investigate,0.0,24.68
disapproving,0.038,24.6
variables,0.0,24.6
conducive,0.0,24.53
embarrassment,0.0,24.25
cancellation,0.0,24.23
distractions,0.0,24.17
disrupted,0.0,24.15
excessive,0.0,24.13
stronger,0.0,24.06
inconclusive,0.0,24.02
complains,0.0,23.98
revocation,0.0,23.96
uncertain,0.0,23.92
protests,0.0,23.91
relinquishment,0.0,23.62
winner,0.0,23.6
persists,0.0,23.58
testify,0.0,23.55
shuts,0.0,23.55
risked,0.019,23.38
undetected,0.0,23.36
dishonesty,0.0,23.34
presumption,0.0,23.32
destructive,0.0,23.3
disqualified,0.0,23.26
overruns,0.075,23.21
noncompliant,0.019,23.11
repudiated,0.0,23.09
recalculate,0.0,23.06
deviate,0.0,22.96
seized,0.0,22.96
disagrees,0.0,22.89
underperformance,0.566,22.83
rejecting,0.0,22.81
variation,0.0,22.77
breaks,0.0,22.77
unapproved,0.0,22.72
refusing,0.0,22.64
alienated,0.0,22.57
tightening,0.0,22.55
unstable,0.0,22.42
undermining,0.0,22.4
deter,0.0,22.36
malfunction,0.0,22.15
succeeded,0.0,22.15
detriment,0.0,22.09
denying,0.0,22.08
mismanaged,0.321,22.02
susceptibility,0.0,21.94
misappropriate,0.679,21.94
inconvenience,0.0,21.87
interfere,0.0,21.87
distract,0.0,21.83
contested,0.0,21.79
unreconciled,0.226,21.77
winners,0.0,21.74
exploiting,0.0,21.58
confront,0.0,21.53
prosecuting,0.0,21.49
destroys,0.0,21.45
contradicting,0.0,21.45
missteps,0.283,21.45
inefficiency,0.0,21.36
obsolescence,0.0,21.34
annoyed,0.0,21.32
defrauded,0.0,21.32
enjoying,0.0,21.23
disapproves,0.094,21.17
vulnerabilities,0.0,21.09
reassessed,0.0,21.09
overages,0.0,21.08
diligently,0.0,21.02
insufficiency,0.0,20.96
stabilization,0.0,20.92
defamed,0.094,20.92
disappointing,0.0,20.91
convicted,0.0,20.87
inactivation,0.019,20.85
uncompetitive,0.0,20.79
diminishing,0.0,20.75
complicated,0.0,20.74
subjected,0.0,20.68
unsold,0.0,20.66
demolish,0.0,20.62
riskiest,0.019,20.58
enjoys,0.0,20.55
impossible,0.0,20.51
inequity,0.0,20.36
unproven,0.075,20.34
charitable,0.0,20.32
standstill,0.0,20.32
predicts,0.0,20.3
sentencing,0.0,20.28
interference,0.0,20.21
reward,0.0,20.19
disagree,0.0,20.15
slowing,0.0,20.09
indefinite,0.0,19.87
underpaid,0.0,19.77
argue,0.0,19.74
misapplied,0.698,19.74
desirable,0.0,19.72
suffered,0.0,19.7
undermined,0.0,19.66
unsatisfied,0.0,19.66
disapproval,0.0,19.64
imprisonment,0.0,19.62
prosperity,0.0,19.49
unsellable,0.0,19.42
insurrection,0.0,19.4
restating,0.0,19.38
provoking,0.0,19.36
hinders,0.0,19.26
picket,0.0,19.26
intermittently,0.0,19.23
involuntary,0.0,19.19
escalated,0.0,19.17
insufficient,0.0,19.17
downsizing,0.0,19.13
collapse,0.0,19.06
reparations,0.0,19.06
mislead,0.0,18.98
hindering,0.0,18.96
scandalous,0.0,18.92
dismal,0.0,18.92
assault,0.0,18.91
inhibited,0.0,18.79
sued,0.0,18.74
evicted,0.0,18.6
cybercrime,0.0,18.57
perjury,0.0,18.47
sentenced,0.0,18.47
enabled,0.0,18.26
disappearance,0.0,18.09
infringe,0.0,18.08
fatality,0.0,18.08
uncover,0.0,18.04
adulterated,0.0,17.96
inaccessible,0.0,17.96
postponed,0.0,17.96
incorrectly,0.0,17.92
conspire,0.0,17.89
variations,0.0,17.83
warns,0.0,17.81
alleged,0.0,17.79
manipulated,0.0,17.79
intentional,0.0,17.74
evict,0.0,17.68
contrary,0.0,17.68
fails,0.0,17.68
detract,0.0,17.66
cancelling,0.0,17.62
annulled,0.0,17.62
abandon,0.0,17.6
critically,0.0,17.6
eroding,0.0,17.58
discloses,0.0,17.58
underestimated,0.0,17.57
deteriorated,0.0,17.55
obstructed,0.0,17.55
confining,0.019,17.51
failing,0.0,17.49
undue,0.0,17.49
conviction,0.0,17.49
frustrating,0.0,17.45
mistaken,0.0,17.45
interruption,0.0,17.4
annoys,0.0,17.36
encumber,0.0,17.34
neglected,0.0,17.32
omitting,0.0,17.32
assumptions,0.0,17.3
unspecified,0.0,17.28
vary,0.0,17.28
regain,0.0,17.23
unsettled,0.0,17.21
abnormal,0.0,17.17
maybe,0.0,17.17
attained,0.0,17.11
confinement,0.0,17.06
inconsistency,0.0,16.89
depleted,0.0,16.87
delightful,0.0,16.85
underinsured,0.0,16.83
distortions,0.0,16.81
overlooks,0.0,16.75
unjustified,0.0,16.75
ambiguity,0.0,16.74
dishonorable,0.0,16.7
preventing,0.0,16.7
indefinitely,0.0,16.7
revise,0.0,16.66
encroaching,0.0,16.62
exemplary,0.0,16.57
discouraging,0.0,16.53
contend,0.0,16.49
impermissible,0.019,16.47
setbacks,0.0,16.45
